Time,Cheat Probability
0,0.01
1,0.009900990099009901
2,0.01
3,0.009900990099009901
4,0.01
5,0.009900990099009901
6,0.01
7,0.009900990099009901
8,0.01
9,0.009900990099009901
10,0.019900990099009905
11,0.029900990099009907
12,0.03990099009900991
13,0.04990099009900991
14,0.05990099009900991
15,0.06990099009900991
16,0.07990099009900992
17,0.08990099009900993
18,0.09990099009900993
19,0.10990099009900994
20,0.11990099009900995
21,0.12990099009900996
22,0.13990099009900997
23,0.14990099009900998
24,0.15990099009901
25,0.16990099009901
26,0.17990099009901
27,0.18990099009901001
28,0.18802078227624755
29,0.18615919037252232
30,0.18431603007180428
31,0.18249111888297453
32,0.18068427612175697
33,0.1788953228928287
34,0.1771240820721076
35,0.17537037828921545
36,0.1736340379101143
37,0.18363403791011432
38,0.19363403791011433
39,0.20363403791011433
40,0.21363403791011434
41,0.22363403791011435
42,0.23363403791011436
43,0.24363403791011437
44,0.25363403791011435
45,0.26363403791011436
46,0.27363403791011437
47,0.2836340379101144
48,0.2936340379101144
49,0.3036340379101144
50,0.3136340379101144
51,0.3236340379101144
52,0.3336340379101144
53,0.34363403791011443
54,0.35363403791011444
55,0.36363403791011445
56,0.37363403791011446
57,0.38363403791011447
58,0.3936340379101145
59,0.4036340379101145
60,0.4136340379101145
61,0.4236340379101145
62,0.4336340379101145
63,0.4436340379101145
64,0.45363403791011453
65,0.46363403791011454
66,0.47363403791011455
67,0.48363403791011456
68,0.47884558208922234
69,0.4741045367220023
70,0.4694104323980221
71,0.4647628043544773
72,0.46016119243017556
73,0.4556051410199758
74,0.451094199029679
75,0.44662791983136535
76,0.4422058612191736
77,0.4378275853655184
78,0.433492658777741
79,0.4292006522551891
80,0.42495114084672186
81,0.4207437038086355
82,0.41657792456300546
83,0.41245339065644104
84,0.4083696937192485
85,0.4043264294249985
86,0.4003231974504936
87,0.3963596014361323
88,0.39243524894666565
89,0.3885497514323422
90,0.38470272419043783
91,0.39470272419043784
92,0.40470272419043785
93,0.41470272419043785
94,0.42470272419043786
95,0.4347027241904379
96,0.4447027241904379
97,0.4547027241904379
98,0.4647027241904379
99,0.4747027241904379
100,0.4847027241904379
101,0.4947027241904379
102,0.5047027241904379
103,0.49970566751528506
104,0.49475808664879706
105,0.48985949173148224
106,0.4850093977539428
107,0.4802073245088543
108,0.4754527965434201
109,0.4707453431122971
110,0.46608449813098723
111,0.46146980012969036
112,0.4569007922076142
113,0.4523770219877368
114,0.4478980415720167
115,0.4434634074970462
116,0.43907268069014477
117,0.4490726806901448
118,0.4590726806901448
119,0.4690726806901448
120,0.4790726806901448
121,0.4890726806901448
122,0.4990726806901448
123,0.5090726806901448
124,0.5190726806901448
125,0.5290726806901448
126,0.5390726806901448
127,0.5490726806901448
128,0.5590726806901448
129,0.5690726806901448
130,0.5790726806901448
131,0.5890726806901448
132,0.5990726806901449
133,0.6090726806901449
134,0.6690726806901448
135,0.7290726806901449
136,0.7890726806901449
137,0.849072680690145
138,0.909072680690145
139,0.9690726806901451
140,1.0290726806901451
141,0.65
142,0.6435643564356436
143,0.6371924321144986
144,0.630883596152969
145,0.6246372239138307
146,0.6184526969443869
147,0.6123294029152345
148,0.6062667355596382
149,0.6002640946135032
150,0.5943208857559438
151,0.5884365205504394
152,0.5826104163865736
153,0.5768419964223501
154,0.5711306895270793
155,0.565475930224831
156,0.5598771586384466
157,0.5543338204341055
158,0.5488453667664411
159,0.5588453667664411
160,0.553312244323209
161,0.547833905270504
162,0.5424098071985188
163,0.5370394130678404
164,0.5317221911562776
165,0.5264576150062155
166,0.5212451633724906
167,0.5160843201707828
168,0.5109745744265176
169,0.5059154202242748
170,0.5009063566576979
171,0.4959468877798989
172,0.49103652255435537
173,0.48617477480629245
174,0.48136116317454697
175,0.4765952110639079
176,0.4718764465979286
177,0.4672044025722065
178,0.46257861640812525
179,0.4579986301070547
180,0.45346399020500466
181,0.44897424772772737
182,0.4445289581462647
183,0.44012768133293534
184,0.43576998151775775
185,0.4314554272453047
186,0.42718359133198486
187,0.4229540508237474
188,0.4187663869542053
189,0.41462018510317356
190,0.4105150347556174
191,0.40645052946100735
192,0.4024262667930766
193,0.3984418483099768
194,0.39449687951482854
195,0.3905909698166619
196,0.38672373249174447
197,0.38289478464529153
198,0.379103747173556
199,0.3753502447262931
200,0.3716339056695971
